Date,Open,High,Low,Close,Volume
2024-01-01,190,191,189,190,1000
2024-01-02,190,192,189,191,1100
2024-01-03,191,193,190,192,1200
2024-01-04,192,194,191,193,1300
2024-01-05,193,195,192,194,1250
2024-01-06,194,196,193,195,1400
2024-01-07,195,197,194,196,1500
2024-01-08,196,198,195,197,1600
2024-01-09,197,199,196,198,1700
2024-01-10,198,200,197,199,1800
2024-01-11,199,201,198,200,1900
2024-01-12,200,202,199,201,2000
2024-01-13,201,203,200,202,2100
2024-01-14,202,204,201,203,2200
2024-01-15,203,205,202,204,2300
2024-01-16,204,206,203,205,2400
2024-01-17,205,207,204,206,2500
2024-01-18,206,208,205,207,2600
2024-01-19,207,209,206,208,2700
2024-01-20,208,210,207,209,2800
