Date,Open,High,Low,Close,Volume
2024-01-01,42000,42400,41800,42200,120
2024-01-02,42200,42850,42100,42750,125
2024-01-03,42750,43100,42550,43000,130
2024-01-04,43000,43350,42850,43250,128
2024-01-05,43250,43750,43100,43600,132
2024-01-06,43600,44100,43450,43950,138
2024-01-07,43950,44400,43800,44250,145
2024-01-08,44250,44750,44100,44600,150
2024-01-09,44600,44900,44300,44750,155
2024-01-10,44750,45200,44650,45100,160
2024-01-11,45100,45650,44950,45500,168
2024-01-12,45500,45900,45200,45750,172
2024-01-13,45750,46200,45600,46050,176
2024-01-14,46050,46600,45950,46450,180
2024-01-15,46450,46900,46250,46750,184
2024-01-16,46750,47250,46650,47100,190
2024-01-17,47100,47650,46950,47450,196
2024-01-18,47450,47900,47200,47700,200
2024-01-19,47700,48300,47550,48150,208
2024-01-20,48150,48800,48000,48650,215
