Date,Open,High,Low,Close,Volume
2024-01-01,2250,2275,2235,2265,950
2024-01-02,2265,2290,2250,2285,980
2024-01-03,2285,2315,2275,2305,1005
2024-01-04,2305,2335,2295,2325,1015
2024-01-05,2325,2350,2310,2340,1035
2024-01-06,2340,2370,2330,2365,1050
2024-01-07,2365,2395,2350,2385,1085
2024-01-08,2385,2410,2375,2400,1105
2024-01-09,2400,2430,2390,2420,1125
2024-01-10,2420,2455,2410,2445,1150
2024-01-11,2445,2470,2430,2460,1175
2024-01-12,2460,2495,2450,2480,1190
2024-01-13,2480,2510,2465,2495,1210
2024-01-14,2495,2530,2485,2520,1235
2024-01-15,2520,2550,2505,2540,1260
2024-01-16,2540,2575,2530,2560,1285
2024-01-17,2560,2600,2550,2585,1310
2024-01-18,2585,2620,2570,2605,1340
2024-01-19,2605,2645,2590,2630,1375
2024-01-20,2630,2670,2615,2655,1410
