Date,Open,High,Low,Close,Volume
2024-01-01,400,401,399,400,1000
2024-01-02,400,402,399,401,1100
2024-01-03,401,403,400,402,1200
2024-01-04,402,404,401,403,1300
2024-01-05,403,405,402,404,1250
2024-01-06,404,406,403,405,1400
2024-01-07,405,407,404,406,1500
2024-01-08,406,408,405,407,1600
2024-01-09,407,409,406,408,1700
2024-01-10,408,410,407,409,1800
2024-01-11,409,411,408,410,1900
2024-01-12,410,412,409,411,2000
2024-01-13,411,413,410,412,2100
2024-01-14,412,414,411,413,2200
2024-01-15,413,415,412,414,2300
2024-01-16,414,416,413,415,2400
2024-01-17,415,417,414,416,2500
2024-01-18,416,418,415,417,2600
2024-01-19,417,419,416,418,2700
2024-01-20,418,420,417,419,2800
