Date,Open,High,Low,Close,Volume
2024-01-01,470,471,469,470,1000
2024-01-02,470,472,469,471,1100
2024-01-03,471,473,470,472,1200
2024-01-04,472,474,471,473,1300
2024-01-05,473,475,472,474,1250
2024-01-06,474,476,473,475,1400
2024-01-07,475,477,474,476,1500
2024-01-08,476,478,475,477,1600
2024-01-09,477,479,476,478,1700
2024-01-10,478,480,477,479,1800
2024-01-11,479,481,478,480,1900
2024-01-12,480,482,479,481,2000
2024-01-13,481,483,480,482,2100
2024-01-14,482,484,481,483,2200
2024-01-15,483,485,482,484,2300
2024-01-16,484,486,483,485,2400
2024-01-17,485,487,484,486,2500
2024-01-18,486,488,485,487,2600
2024-01-19,487,489,486,488,2700
2024-01-20,488,490,487,489,2800
